param,value
step_size,0.001
TEC_price,0.7098210095763171
target,0.8
nb_agency,1
nb_zones,1
total_pop,1000.0
mean_vot,9.999999990000003
nb_od_groups,3
total_trips,1200.0
mean_accessibility,0.723333332807619
agency_1_mean_accessibility,0.723333332807619
equity_index,0.0035917226664513094
agency_1_equity_index,0.0035917226664513094
agency_1_base_transit_revenue,963.813251840369
base_transit_revenue,963.813251840369
adjusted_mean_accessibility,"tf.Tensor(0.7314426, shape=(), dtype=float32)"
agency_1_adjusted_mean_accessibility,"tf.Tensor(0.7314426, shape=(), dtype=float32)"
0_agency1_adjusted_equity_index,"tf.Tensor(0.0044428036, shape=(), dtype=float32)"
0_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0044428036, shape=(), dtype=float32)"
0_agency1_equity_improvement,"tf.Tensor(-0.000851081, shape=(), dtype=float32)"
0_agency1_equity_gap,"tf.Tensor(-0.0015694255, shape=(), dtype=float32)"
0_agency1_TEC_demand,"tf.Tensor(-156.94255, shape=(), dtype=float32)"
0_agency1_total_subsidy,"tf.Tensor(107.05191, shape=(), dtype=float32)"
0_agency1_adjusted_transit_income,"tf.Tensor(1091.762, shape=(), dtype=float32)"
0_agency1_equity_change_income,"tf.Tensor(-0.0, shape=(), dtype=float32)"
0_agency1_adjusted_transit_revenue,"tf.Tensor(984.7101, shape=(), dtype=float32)"
1_agency1_adjusted_equity_index,"tf.Tensor(0.004133843, shape=(), dtype=float32)"
1_agency1_internal_adjusted_equity_index,"tf.Tensor(0.004133843, shape=(), dtype=float32)"
1_agency1_equity_improvement,"tf.Tensor(-0.0005421203, shape=(), dtype=float32)"
1_agency1_equity_gap,"tf.Tensor(-0.0012604648, shape=(), dtype=float32)"
1_agency1_TEC_demand,"tf.Tensor(-126.04648, shape=(), dtype=float32)"
1_agency1_total_subsidy,"tf.Tensor(78.789536, shape=(), dtype=float32)"
1_agency1_adjusted_transit_income,"tf.Tensor(1061.0548, shape=(), dtype=float32)"
1_agency1_equity_change_income,"tf.Tensor(-19.782055, shape=(), dtype=float32)"
1_agency1_adjusted_transit_revenue,"tf.Tensor(962.4832, shape=(), dtype=float32)"
2_agency1_adjusted_equity_index,"tf.Tensor(0.0038265772, shape=(), dtype=float32)"
2_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0038265772, shape=(), dtype=float32)"
2_agency1_equity_improvement,"tf.Tensor(-0.00023485464, shape=(), dtype=float32)"
2_agency1_equity_gap,"tf.Tensor(-0.0009531991, shape=(), dtype=float32)"
2_agency1_TEC_demand,"tf.Tensor(-95.31991, shape=(), dtype=float32)"
2_agency1_total_subsidy,"tf.Tensor(55.021378, shape=(), dtype=float32)"
2_agency1_adjusted_transit_income,"tf.Tensor(1030.649, shape=(), dtype=float32)"
2_agency1_equity_change_income,"tf.Tensor(-26.97449, shape=(), dtype=float32)"
2_agency1_adjusted_transit_revenue,"tf.Tensor(948.6532, shape=(), dtype=float32)"
3_agency1_adjusted_equity_index,"tf.Tensor(0.0035354793, shape=(), dtype=float32)"
3_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0035354793, shape=(), dtype=float32)"
3_agency1_equity_improvement,"tf.Tensor(5.624327e-05, shape=(), dtype=float32)"
3_agency1_equity_gap,"tf.Tensor(-0.0006621012, shape=(), dtype=float32)"
3_agency1_TEC_demand,"tf.Tensor(-66.21012, shape=(), dtype=float32)"
3_agency1_total_subsidy,"tf.Tensor(45.2991, shape=(), dtype=float32)"
3_agency1_adjusted_transit_income,"tf.Tensor(1011.5475, shape=(), dtype=float32)"
3_agency1_equity_change_income,"tf.Tensor(-25.04788, shape=(), dtype=float32)"
3_agency1_adjusted_transit_revenue,"tf.Tensor(941.20056, shape=(), dtype=float32)"
4_agency1_adjusted_equity_index,"tf.Tensor(0.0033780783, shape=(), dtype=float32)"
4_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0033780783, shape=(), dtype=float32)"
4_agency1_equity_improvement,"tf.Tensor(0.00021364423, shape=(), dtype=float32)"
4_agency1_equity_gap,"tf.Tensor(-0.00050470023, shape=(), dtype=float32)"
4_agency1_TEC_demand,"tf.Tensor(-50.470024, shape=(), dtype=float32)"
4_agency1_total_subsidy,"tf.Tensor(62.102295, shape=(), dtype=float32)"
4_agency1_adjusted_transit_income,"tf.Tensor(1021.8002, shape=(), dtype=float32)"
4_agency1_equity_change_income,"tf.Tensor(-22.434889, shape=(), dtype=float32)"
4_agency1_adjusted_transit_revenue,"tf.Tensor(937.263, shape=(), dtype=float32)"
5_agency1_adjusted_equity_index,"tf.Tensor(0.0032998957, shape=(), dtype=float32)"
5_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0032998957, shape=(), dtype=float32)"
5_agency1_equity_improvement,"tf.Tensor(0.0002918269, shape=(), dtype=float32)"
5_agency1_equity_gap,"tf.Tensor(-0.00042651757, shape=(), dtype=float32)"
5_agency1_TEC_demand,"tf.Tensor(-42.651756, shape=(), dtype=float32)"
5_agency1_total_subsidy,"tf.Tensor(69.11824, shape=(), dtype=float32)"
5_agency1_adjusted_transit_income,"tf.Tensor(1025.152, shape=(), dtype=float32)"
5_agency1_equity_change_income,"tf.Tensor(-21.112154, shape=(), dtype=float32)"
5_agency1_adjusted_transit_revenue,"tf.Tensor(934.9216, shape=(), dtype=float32)"
6_agency1_adjusted_equity_index,"tf.Tensor(0.0031751413, shape=(), dtype=float32)"
6_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0031751413, shape=(), dtype=float32)"
6_agency1_equity_improvement,"tf.Tensor(0.0004165813, shape=(), dtype=float32)"
6_agency1_equity_gap,"tf.Tensor(-0.00030176318, shape=(), dtype=float32)"
6_agency1_TEC_demand,"tf.Tensor(-30.17632, shape=(), dtype=float32)"
6_agency1_total_subsidy,"tf.Tensor(85.86647, shape=(), dtype=float32)"
6_agency1_adjusted_transit_income,"tf.Tensor(1035.472, shape=(), dtype=float32)"
6_agency1_equity_change_income,"tf.Tensor(-16.22402, shape=(), dtype=float32)"
6_agency1_adjusted_transit_revenue,"tf.Tensor(933.3816, shape=(), dtype=float32)"
7_agency1_adjusted_equity_index,"tf.Tensor(0.003125405, shape=(), dtype=float32)"
7_agency1_internal_adjusted_equity_index,"tf.Tensor(0.003125405, shape=(), dtype=float32)"
7_agency1_equity_improvement,"tf.Tensor(0.00046631764, shape=(), dtype=float32)"
7_agency1_equity_gap,"tf.Tensor(-0.00025202683, shape=(), dtype=float32)"
7_agency1_TEC_demand,"tf.Tensor(-25.202682, shape=(), dtype=float32)"
7_agency1_total_subsidy,"tf.Tensor(91.88193, shape=(), dtype=float32)"
7_agency1_adjusted_transit_income,"tf.Tensor(1038.705, shape=(), dtype=float32)"
7_agency1_equity_change_income,"tf.Tensor(-14.310516, shape=(), dtype=float32)"
7_agency1_adjusted_transit_revenue,"tf.Tensor(932.51245, shape=(), dtype=float32)"
8_agency1_adjusted_equity_index,"tf.Tensor(0.0030767974, shape=(), dtype=float32)"
8_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0030767974, shape=(), dtype=float32)"
8_agency1_equity_improvement,"tf.Tensor(0.0005149252, shape=(), dtype=float32)"
8_agency1_equity_gap,"tf.Tensor(-0.00020341924, shape=(), dtype=float32)"
8_agency1_TEC_demand,"tf.Tensor(-20.341925, shape=(), dtype=float32)"
8_agency1_total_subsidy,"tf.Tensor(97.94508, shape=(), dtype=float32)"
8_agency1_adjusted_transit_income,"tf.Tensor(1041.9333, shape=(), dtype=float32)"
8_agency1_equity_change_income,"tf.Tensor(-12.063165, shape=(), dtype=float32)"
8_agency1_adjusted_transit_revenue,"tf.Tensor(931.9251, shape=(), dtype=float32)"
