name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,80215313,,,,,,,-96.7353652,43.5003409,,,
,1,80215317,,,,,,,-96.7353079,43.4997261,,,
,2,80215322,,,,,,,-96.7347726,43.4989109,,,
,3,80215330,,,,,,,-96.7337656,43.4982298,,,
,4,80215343,,,,,,,-96.7310107,43.497268,,,
,5,80215349,,,,,,,-96.7303978,43.497046,,,
,6,1028818489,traffic_signals,,signal,,,,-96.7908254,43.5002771,,,
,7,80215377,,,,,,,-96.7920143,43.4971045,,,
,8,80215379,,,,,,,-96.7924701,43.4963865,,,
,9,80215383,,,,,,,-96.7930111,43.4955939,,,
,10,80215390,,,,,,,-96.79383,43.4947198,,,
,11,80278454,turning_circle,,,,,,-96.7942449,43.4942544,,,
,12,80215459,,,,,,,-96.8105676,43.4959609,,,
,13,80215475,,,,,,,-96.8107678,43.4932879,,,
,14,80215488,,,,,,,-96.8096852,43.4906113,,,
,15,80215580,,,,,,,-96.7077388,43.4926295,,,
,16,80215587,,,,,,,-96.7036406,43.4926055,,,
,17,80215930,,,,,,,-96.7418066,43.4945552,,,
,18,80215943,,,,,,,-96.741382,43.496249,,,
,19,80215949,,,,,,,-96.74075,43.496463,,,
,20,80215953,,,,,,,-96.739373,43.496857,,,
,21,80215999,turning_circle,,,,,,-96.740333,43.495297,,,
,22,80216004,,,,,,,-96.8118985,43.4915412,,,
,23,80216006,,,,,,,-96.814538,43.491544,,,
,24,80216010,,,,,,,-96.7606323,43.4927199,,,
,25,80216012,,,,,,,-96.7614918,43.4920531,,,
,26,80216037,,,,,,,-96.7595701,43.4903453,,,
,27,80216041,,,,,,,-96.725704,43.496092,,,
,28,80216055,turning_circle,,,,,,-96.7266936,43.4952623,,,
,29,80294795,motorway_junction,,,,,,-96.7859412,43.4926499,,,
,30,80219498,,,,,,,-96.7972108,43.4812239,,,
,31,80224699,,,,,,,-96.6988986,43.4972463,,,
,32,80224716,,,,,,,-96.6993307,43.4943426,,,
,33,80226842,,,,,,,-96.7572132,43.496874,,,
,34,80226853,,,,,,,-96.7573673,43.497545,,,
,35,2465105896,,,,,,,-96.7587333,43.4976285,,,
,36,80227342,motorway_junction,,,,,,-96.762597,43.4983598,,,
