name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes,geometry,out_degree,in_degree,degree
,0,80215313,,,,,,,-96.7353652,43.5003409,,,,POINT(-96.7353652 43.5003409),3.0,3.0,6.0
,1,80215317,,,,,,,-96.7353079,43.4997261,,,,POINT(-96.7353079 43.4997261),3.0,3.0,6.0
,2,80215322,,,,,,,-96.7347726,43.4989109,,,,POINT(-96.7347726 43.4989109),3.0,3.0,6.0
,3,80215330,,,,,,,-96.7337656,43.4982298,,,,POINT(-96.7337656 43.4982298),4.0,4.0,8.0
,4,80215343,,,,,,,-96.7310107,43.497268,,,,POINT(-96.7310107 43.497268),3.0,3.0,6.0
,5,80215349,,,,,,,-96.7303978,43.497046,,,,POINT(-96.7303978 43.497046),3.0,3.0,6.0
,6,1028818489,traffic_signals,,signal,traffic_signals,,,-96.7908254,43.5002771,,,,POINT(-96.7908254 43.5002771),4.0,4.0,8.0
,7,80215377,,,,,,,-96.7920143,43.4971045,,,,POINT(-96.7920143 43.4971045),3.0,3.0,6.0
,8,80215379,,,,,,,-96.7924701,43.4963865,,,,POINT(-96.7924701 43.4963865),3.0,3.0,6.0
,9,80215383,,,,,,,-96.7930111,43.4955939,,,,POINT(-96.7930111 43.4955939),3.0,3.0,6.0
,10,80215390,,,,,,,-96.79383,43.4947198,,,,POINT(-96.79383 43.4947198),3.0,3.0,6.0
,11,80278454,turning_circle,,,turning_circle,,,-96.7942449,43.4942544,,,,POINT(-96.7942449 43.4942544),1.0,1.0,2.0
,12,80215459,,,,,,,-96.8105676,43.4959609,,,,POINT(-96.8105676 43.4959609),2.0,2.0,4.0
,13,80215475,,,,,,,-96.8107678,43.4932879,,,,POINT(-96.8107678 43.4932879),4.0,4.0,8.0
,14,80215488,,,,,,,-96.8096852,43.4906113,,,,POINT(-96.8096852 43.4906113),4.0,4.0,8.0
,15,80215580,,,,,,,-96.7077388,43.4926295,,,,POINT(-96.7077388 43.4926295),3.0,3.0,6.0
,16,80215587,,,,,,,-96.7036406,43.4926055,,,,POINT(-96.7036406 43.4926055),3.0,3.0,6.0
,17,80215930,,,,,,,-96.7418066,43.4945552,,,,POINT(-96.7418066 43.4945552),3.0,3.0,6.0
,18,80215943,,,,,,,-96.741382,43.496249,,,,POINT(-96.741382 43.496249),3.0,3.0,6.0
,19,80215949,,,,,,,-96.74075,43.496463,,,,POINT(-96.74075 43.496463),3.0,3.0,6.0
,20,80215953,,,,,,,-96.739373,43.496857,,,,POINT(-96.739373 43.496857),3.0,3.0,6.0
,21,80215999,turning_circle,,,turning_circle,,,-96.740333,43.495297,,,,POINT(-96.740333 43.495297),1.0,1.0,2.0
,22,80216004,,,,,,,-96.8118985,43.4915412,,,,POINT(-96.8118985 43.4915412),3.0,3.0,6.0
,23,80216006,,,,,,,-96.814538,43.491544,,,,POINT(-96.814538 43.491544),3.0,3.0,6.0
,24,80216010,,,,,,,-96.7606323,43.4927199,,,,POINT(-96.7606323 43.4927199),3.0,3.0,6.0
,25,80216012,,,,,,,-96.7614918,43.4920531,,,,POINT(-96.7614918 43.4920531),4.0,4.0,8.0
,26,80216037,,,,,,,-96.7595701,43.4903453,,,,POINT(-96.7595701 43.4903453),3.0,3.0,6.0
,27,80216041,,,,,,,-96.725704,43.496092,,,,POINT(-96.725704 43.496092),3.0,3.0,6.0
,28,80216055,turning_circle,,,turning_circle,,,-96.7266936,43.4952623,,,,POINT(-96.7266936 43.4952623),1.0,1.0,2.0
,29,80294795,motorway_junction,,,motorway_junction,,,-96.7859412,43.4926499,,,,POINT(-96.7859412 43.4926499),2.0,1.0,3.0
,30,80219498,,,,,,,-96.7972108,43.4812239,,,,POINT(-96.7972108 43.4812239),1.0,1.0,2.0
,31,80224699,,,,,,,-96.6988986,43.4972463,,,,POINT(-96.6988986 43.4972463),3.0,3.0,6.0
,32,80224716,,,,,,,-96.6993307,43.4943426,,,,POINT(-96.6993307 43.4943426),3.0,3.0,6.0
,33,80226842,,,,,,,-96.7572132,43.496874,,,,POINT(-96.7572132 43.496874),3.0,3.0,6.0
,34,80226853,,,,,,,-96.7573673,43.497545,,,,POINT(-96.7573673 43.497545),3.0,3.0,6.0
,35,2465105896,,,,,,,-96.7587333,43.4976285,,,,POINT(-96.7587333 43.4976285),1.0,1.0,2.0
,36,80227342,motorway_junction,,,motorway_junction,,,-96.762597,43.4983598,,,,POINT(-96.762597 43.4983598),2.0,1.0,3.0
,37,2445411692,,,,,,,-96.7684085,43.4970702,,,,POINT(-96.7684085 43.4970702),1.0,1.0,2.0
,38,80230322,,,,,,,-96.725619,43.490698,,,,POINT(-96.725619 43.490698),3.0,3.0,6.0
,39,80230329,,,,,,,-96.7257405,43.4896439,,,,POINT(-96.7257405 43.4896439),3.0,3.0,6.0
,40,1375180870,,,,,,,-96.7257386,43.4895242,,,,POINT(-96.7257386 43.4895242),2.0,2.0,4.0
,41,80803053,,,,,,,-96.814212,43.50031,,,,POINT(-96.814212 43.50031),3.0,3.0,6.0
,42,80230529,,,,,,,-96.81435,43.498913,,,,POINT(-96.81435 43.498913),3.0,3.0,6.0
,43,80239311,,,,,,,-96.722085,43.487589,,,,POINT(-96.722085 43.487589),3.0,3.0,6.0
,44,80230798,,,,,,,-96.722567,43.4863416,,,,POINT(-96.722567 43.4863416),3.0,3.0,6.0
,45,80283291,turning_circle,,,turning_circle,,,-96.7256691,43.4838476,,,,POINT(-96.7256691 43.4838476),1.0,1.0,2.0
,46,80283246,,,,,,,-96.7269098,43.4861748,,,,POINT(-96.7269098 43.4861748),3.0,3.0,6.0
,47,2462411165,,,,,,,-96.7274046,43.4862051,,,,POINT(-96.7274046 43.4862051),3.0,3.0,6.0
,48,80230929,,,,,,,-96.7275957,43.4862043,,,,POINT(-96.7275957 43.4862043),3.0,3.0,6.0
,49,80232181,,,,,,,-96.749547,43.492302,,,,POINT(-96.749547 43.492302),3.0,3.0,6.0
,50,80232220,,,,,,,-96.7508933,43.4941732,,,,POINT(-96.7508933 43.4941732),4.0,4.0,8.0
,51,80232488,,,,,,,-96.7657387,43.480257,,,,POINT(-96.7657387 43.480257),4.0,4.0,8.0
,52,80232490,,,,,,,-96.7657232,43.4797408,,,,POINT(-96.7657232 43.4797408),1.0,1.0,2.0
,53,80232808,,,,,,,-96.7614316,43.479909,,,,POINT(-96.7614316 43.479909),3.0,3.0,6.0
