pair,from_node,to_node,geometry,fftt,cost,link_type_name
"(10029, 10033)",10029,2009,"LINESTRING (-96.812619 43.5305482, -96.811434 43.529306)",0.3358886843917527,0.0,centroid_connector_outward
"(10029, 10033)",2009,2531,"LINESTRING (-96.811434 43.529306, -96.809581 43.52931)",0.14973,0.014886102377372,secondary
"(10029, 10033)",2531,2197,"LINESTRING (-96.809581 43.52931, -96.808946 43.52931)",0.05131,0.0051012216188002,secondary
"(10029, 10033)",2197,4801,"LINESTRING (-96.808946 43.52931, -96.808379 43.52931)",0.04582,0.004555407806927,secondary
"(10029, 10033)",4801,1474,"LINESTRING (-96.808379 43.52931, -96.807739 43.529316)",0.05172,0.0051419836703244,secondary
"(10029, 10033)",1474,4459,"LINESTRING (-96.807739 43.529316, -96.805861 43.529324)",0.15175,0.0150869300458573,secondary
"(10029, 10033)",4459,5273,"LINESTRING (-96.805861 43.529324, -96.8048894 43.5293262)",0.07851,0.0078054357687002,secondary
"(10029, 10033)",5273,920,"LINESTRING (-96.8048894 43.5293262, -96.8048186 43.5293276)",0.0057199999999999,0.0005686803285819,secondary
"(10029, 10033)",920,4097,"LINESTRING (-96.8048186 43.5293276, -96.8037078 43.5293322)",0.08976,0.0089239066946698,secondary
"(10029, 10033)",4097,3509,"LINESTRING (-96.8037078 43.5293322, -96.8033522 43.5293362)",0.0287399999999999,0.0028573203922104,secondary
"(10029, 10033)",3509,4046,"LINESTRING (-96.8033522 43.5293362, -96.8021269 43.5293334)",0.09901,0.0098435383449115,secondary
"(10029, 10033)",4046,2185,"LINESTRING (-96.8021269 43.5293334, -96.800894 43.529343)",0.09963,0.0099051785203872,secondary
"(10029, 10033)",2185,2186,"LINESTRING (-96.800894 43.529343, -96.798866 43.529348)",0.47376,0.0235505238172169,residential
"(10029, 10033)",2186,3753,"LINESTRING (-96.798866 43.529348, -96.7980966 43.5293557)",0.06218,0.0061819130823815,secondary
"(10029, 10033)",3753,4045,"LINESTRING (-96.7980966 43.5293557, -96.79771 43.529356)",0.0312399999999999,0.0031058694868703,secondary
"(10029, 10033)",4045,1957,"LINESTRING (-96.79771 43.529356, -96.7964853 43.5293574)",0.0989599999999999,0.0098385673630183,secondary
"(10029, 10033)",1957,4668,"LINESTRING (-96.7964853 43.5293574, -96.7951029 43.5293757)",0.11172,0.0111071619421626,secondary
"(10029, 10033)",4668,3721,"LINESTRING (-96.7951029 43.5293757, -96.7938414 43.5293807)",0.10194,0.010134837883853,secondary
"(10029, 10033)",3721,8292,"LINESTRING (-96.7938414 43.5293807, -96.7911923 43.5293148)",0.2296178571428571,0.0213066225906272,secondary
"(10029, 10033)",8292,6676,"LINESTRING (-96.7911923 43.5293148, -96.7909267 43.5293168)",0.0229928571428571,0.0021335454285607,secondary
"(10029, 10033)",6676,6677,"LINESTRING (-96.7909267 43.5293168, -96.7896804 43.5293125)",0.1079035714285714,0.0100125517292803,secondary
"(10029, 10033)",6677,4962,"LINESTRING (-96.7896804 43.5293125, -96.7883236 43.5293023)",0.1174821428571428,0.0109013632917842,secondary
"(10029, 10033)",4962,6678,"LINESTRING (-96.7883236 43.5293023, -96.7860038 43.5289104)",0.2072678571428571,0.0192327289447848,secondary
"(10029, 10033)",6678,6679,"LINESTRING (-96.7860038 43.5289104, -96.7858621 43.5288652)",0.0133928571428571,0.0012427454732996,secondary
"(10029, 10033)",6679,4115,"LINESTRING (-96.7858621 43.5288652, -96.7857273 43.5288215)",0.0127714285714285,0.0011850820833385,secondary
"(10029, 10033)",4115,6680,"LINESTRING (-96.7857273 43.5288215, -96.7820774 43.5274405)",0.357,0.0331266233362744,secondary
"(10029, 10033)",6680,4043,"LINESTRING (-96.7820774 43.5274405, -96.7819642 43.5274141)",0.0102964285714285,0.0009554227198727,secondary
"(10029, 10033)",4043,1733,"LINESTRING (-96.7819642 43.5274141, -96.7811284 43.5272583)",0.0747,0.0069315371518759,primary
"(10029, 10033)",1733,1734,"LINESTRING (-96.7811284 43.5272583, -96.7798507 43.5270215)",0.1141607142857142,0.0105931624144059,primary
"(10029, 10033)",1734,5367,"LINESTRING (-96.7798507 43.5270215, -96.7791948 43.5268933)",0.0588,0.0054561497259746,primary
"(10029, 10033)",5367,5368,"LINESTRING (-96.7791948 43.5268933, -96.7789474 43.526845)",0.0221785714285714,0.0020579865037841,primary
"(10029, 10033)",5368,6671,"LINESTRING (-96.7789474 43.526845, -96.7789204 43.5269753)",0.007315,0.0014545093019498,motorway
"(10029, 10033)",6671,5569,"LINESTRING (-96.7789204 43.5269753, -96.7802685 43.5302168)",0.192135,0.0382039842419874,motorway
"(10029, 10033)",5569,5570,"LINESTRING (-96.7802685 43.5302168, -96.7802584 43.5311549)",0.0601096153846153,0.0103585320690469,motorway
"(10029, 10033)",5570,697,"LINESTRING (-96.7802584 43.5311549, -96.7802392 43.5375947)",0.4126153846153846,0.0711049250003107,motorway
"(10029, 10033)",697,698,"LINESTRING (-96.7802392 43.5375947, -96.7798656 43.540865)",0.182235,0.0362354754122808,motorway
"(10029, 10033)",698,6844,"LINESTRING (-96.7798656 43.540865, -96.7797036 43.5426111)",0.0972,0.0193271776007555,motorway
"(10029, 10033)",6844,5919,"LINESTRING (-96.7797036 43.5426111, -96.7796658 43.5430855)",0.026385,0.0052463742900816,motorway
"(10029, 10033)",5919,6851,"LINESTRING (-96.7796658 43.5430855, -96.7787362 43.5438169)",0.065925,0.0131084792523643,motorway
"(10029, 10033)",6851,6855,"LINESTRING (-96.7787362 43.5438169, -96.7770132 43.5438416)",0.1044375,0.0138441845725576,primary
"(10029, 10033)",6855,2440,"LINESTRING (-96.7770132 43.5438416, -96.7759785 43.5438644)",0.0627224999999999,0.0083144643145637,primary
"(10029, 10033)",2440,8965,"LINESTRING (-96.7759785 43.5438644, -96.77436 43.5439457)",0.1401428571428571,0.0130040886326071,primary
"(10029, 10033)",8965,5727,"LINESTRING (-96.77436 43.5439457, -96.7713969 43.5438515)",0.2564571428571429,0.0237970845191196,primary
"(10029, 10033)",5727,5728,"LINESTRING (-96.7713969 43.5438515, -96.7702107 43.5438557)",0.1026749999999999,0.0095273838965041,primary
"(10029, 10033)",5728,8994,"LINESTRING (-96.7702107 43.5438557, -96.7658411 43.5439354)",0.3781285714285715,0.0350871785949519,primary
"(10029, 10033)",8994,6562,"LINESTRING (-96.7658411 43.5439354, -96.7641567 43.5439038)",0.1467535714285714,0.0136175077982278,primary
"(10029, 10033)",6562,6561,"LINESTRING (-96.7641567 43.5439038, -96.7611558 43.5439015)",0.2597571428571428,0.0241032970037406,primary
"(10029, 10033)",6561,2644,"LINESTRING (-96.7611558 43.5439015, -96.7595712 43.5439077)",0.1600124999999999,0.0127267078429666,primary
"(10029, 10033)",2644,4495,"LINESTRING (-96.7595712 43.5439077, -96.7583912 43.5439123)",0.1191625,0.0094776740775721,primary
"(10029, 10033)",4495,1494,"LINESTRING (-96.7583912 43.5439123, -96.7572055 43.5439169)",0.1197375,0.0095234071109895,primary
"(10029, 10033)",1494,5173,"LINESTRING (-96.7572055 43.5439169, -96.756023 43.5439215)",0.1194125,0.0094975580051449,primary
"(10029, 10033)",5173,2230,"LINESTRING (-96.756023 43.5439215, -96.7548417 43.5439261)",0.1192874999999999,0.0094876160413585,primary
"(10029, 10033)",2230,4086,"LINESTRING (-96.7548417 43.5439261, -96.7536111 43.5439308)",0.124275,0.0098843003964358,primary
"(10029, 10033)",4086,2124,"LINESTRING (-96.7536111 43.5439308, -96.752399 43.5439356)",0.1224,0.0097351709396398,primary
"(10029, 10033)",2124,2437,"LINESTRING (-96.752399 43.5439356, -96.7512295 43.5439401)",0.1181,0.0093931673853877,primary
"(10029, 10033)",2437,5085,"LINESTRING (-96.7512295 43.5439401, -96.7499396 43.5439471)",0.1302625,0.0103605204618042,primary
"(10029, 10033)",5085,5096,"LINESTRING (-96.7499396 43.5439471, -96.7495392 43.5439468)",0.0404375,0.0032162252848994,primary
"(10029, 10033)",5096,3589,"LINESTRING (-96.7495392 43.5439468, -96.7487053 43.543951)",0.0842125,0.0066979010028955,primary
"(10029, 10033)",3589,3597,"LINESTRING (-96.7487053 43.543951, -96.7481596 43.543953)",0.0551125,0.0043834118334223,primary
"(10029, 10033)",3597,1910,"LINESTRING (-96.7481596 43.543953, -96.7474597 43.5439544)",0.070675,0.0056211863248288,primary
"(10029, 10033)",1910,4567,"LINESTRING (-96.7474597 43.5439544, -96.7467717 43.5439597)",0.069475,0.0055257434724794,primary
"(10029, 10033)",4567,8238,"LINESTRING (-96.7467717 43.5439597, -96.7462244 43.5439573)",0.0552625,0.004395342189966,primary
"(10029, 10033)",8238,8906,"LINESTRING (-96.7462244 43.5439573, -96.7440337 43.5439682)",0.221225,0.0175952875091652,primary
"(10029, 10033)",8906,6811,"LINESTRING (-96.7440337 43.5439682, -96.743466 43.5439714)",0.0573249999999999,0.0045593845924416,primary
"(10029, 10033)",6811,6812,"LINESTRING (-96.743466 43.5439714, -96.7429403 43.5439208)",0.05365,0.0042670908571215,primary
"(10029, 10033)",6812,6814,"LINESTRING (-96.7429403 43.5439208, -96.7420703 43.5439272)",0.0878625,0.0069882063454583,primary
"(10029, 10033)",6814,8993,"LINESTRING (-96.7420703 43.5439272, -96.7412632 43.5439987)",0.0817,0.006498067530789,primary
"(10029, 10033)",8993,4993,"LINESTRING (-96.7412632 43.5439987, -96.7398889 43.5445439)",0.164775,0.0131054966632284,primary
"(10029, 10033)",4993,4913,"LINESTRING (-96.7398889 43.5445439, -96.7385016 43.5446651)",0.1432125,0.0113905079100749,primary
"(10029, 10033)",4913,3915,"LINESTRING (-96.7385016 43.5446651, -96.7370907 43.5446697)",0.142475,0.0113318503237351,primary
"(10029, 10033)",3915,6824,"LINESTRING (-96.7370907 43.5446697, -96.7356474 43.5446736)",0.14575,0.0115923297749387,primary
"(10029, 10033)",6824,5242,"LINESTRING (-96.7356474 43.5446736, -96.7342051 43.5446794)",0.14565,0.0115843762039096,primary
