GEOID,minc<25k,minc25k_50k,minc50k_100k,minc>100k,minc<25k_estimation_flag,minc25k_50k_estimation_flag,minc50k_100k_estimation_flag,minc>100k_estimation_flag,totHh,hhminc
46099000100,11.399999999999999,32.5,38.1,18.0,0,0,0,0,1541,71857
46099000201,23.2,23.5,37.8,15.599999999999998,0,0,0,0,2052,60012
46099000202,17.700000000000003,23.9,36.3,22.099999999999998,0,0,0,0,1204,67730
46099000300,22.900000000000002,27.9,36.6,12.5,0,0,0,0,1543,55912
46099000401,4.4,19.700000000000003,47.599999999999994,28.3,0,0,0,0,1024,85778
46099000405,12.8,25.4,31.7,30.1,0,0,0,0,1971,93239
46099000406,18.7,31.700000000000003,27.4,22.200000000000003,0,0,0,0,1281,63988
46099000407,14.2,31.0,39.3,15.399999999999999,0,0,0,0,1918,65429
46099000408,14.9,16.0,34.0,35.0,0,0,0,0,1483,98063
46099000500,16.4,39.4,33.5,10.8,0,0,0,0,1621,54464
46099000600,13.8,30.799999999999997,36.5,18.9,0,0,0,0,1220,68518
46099000701,24.9,29.1,23.7,22.299999999999997,0,0,0,0,1383,75623
46099000702,24.200000000000003,31.5,39.4,4.9,0,0,0,0,1364,49337
46099000900,13.1,33.6,39.0,14.399999999999999,0,0,0,0,1454,63843
46099001001,12.4,13.899999999999999,48.7,25.0,0,0,0,0,1534,82636
46099001002,12.1,27.2,40.3,20.400000000000002,0,0,0,0,2508,68661
46099001105,10.0,12.6,42.099999999999994,35.199999999999996,0,0,0,0,2844,91379
46099001107,13.7,17.1,40.2,29.099999999999998,0,0,0,0,1590,87257
46099001108,17.2,19.2,31.200000000000003,32.3,0,0,0,0,2467,78440
46099001109,35.9,32.7,30.2,1.3,0,0,0,0,1036,40978
46099001110,23.3,38.0,32.0,6.8,0,0,0,0,1761,54308
46099001111,4.9,10.0,14.2,71.0,0,0,0,0,2433,141512
46099001112,4.2,15.0,30.4,50.4,0,0,0,0,2104,123779
46099001200,20.5,23.0,22.700000000000003,33.8,0,0,0,0,2034,87270
46099001501,8.3,32.9,39.9,18.900000000000002,0,0,0,0,1506,69158
46099001502,15.3,17.1,45.9,21.6,0,0,0,0,745,68707
46099001600,6.2,17.9,22.3,53.5,0,0,0,0,1345,140644
46099001700,7.199999999999999,17.8,37.8,37.199999999999996,0,0,0,0,888,89641
46099001801,15.899999999999999,17.299999999999997,36.2,30.6,0,0,0,0,2951,95331
46099001804,8.0,24.900000000000002,37.4,29.799999999999997,0,0,0,0,1653,87369
46099001805,3.8,9.6,25.200000000000003,61.400000000000006,0,0,0,0,1384,139700
46099001806,17.0,17.5,32.5,33.2,0,0,0,0,2160,86783
46099001901,7.6,33.0,23.8,35.6,0,0,0,0,1023,96733
46099001902,9.7,5.6,26.4,58.3,0,0,0,0,2030,154082
46099010101,7.1,17.8,33.2,42.1,0,0,0,0,1841,97978
46099010102,10.6,13.3,32.1,44.0,0,0,0,0,1706,100490
46099010200,8.1,8.9,32.900000000000006,50.2,0,0,0,0,1009,121509
46099010300,4.6,8.8,37.1,49.6,0,0,0,0,2491,113487
46099010401,4.2,8.8,29.5,57.6,0,0,0,0,2075,167553
46099010402,4.2,12.299999999999999,29.0,54.6,0,0,0,0,885,133746
46099010403,0.1,5.3,18.9,75.7,0,0,0,0,1035,186679
46099010404,4.800000000000001,14.2,31.299999999999997,49.7,0,0,0,0,1676,125646
46099010405,14.7,15.700000000000001,38.4,31.1,0,0,0,0,2443,81737
46099010406,4.2,19.799999999999997,29.200000000000003,46.9,0,0,0,0,2176,125902
46099010501,7.6,20.5,24.700000000000003,47.1,0,0,0,0,2235,123708
46099010502,4.3,13.2,30.1,52.5,0,0,0,0,1479,108762
46099010600,11.4,25.5,33.1,30.1,0,0,0,0,1781,80413
