epoch,agency_id,Target,adjusted_transit_revenue,total_subsidy,base_equity_index,agency_base_equity_index,agency_internal_adjusted_equity_index,adjusted_equity_index,equity_improvement,equity_gap,TEC_demand,TEC_price
0,1,0.8,984.7101,107.05191,0.0035917226664513094,0.0035917226664513094,0.0044428036,0.0044428036,-0.000851081,-0.0015694255,-156.94255,0
1,1,0.8,962.4832,78.789536,0.0035917226664513094,0.0035917226664513094,0.004133843,0.004133843,-0.0005421203,-0.0012604648,-126.04648,0.1569425506591797
2,1,0.8,948.6532,55.021378,0.0035917226664513094,0.0035917226664513094,0.0038265772,0.0038265772,-0.00023485464,-0.0009531991,-95.31991,0.2829890289306641
3,1,0.8,941.20056,45.2991,0.0035917226664513094,0.0035917226664513094,0.0035354793,0.0035354793,5.624327e-05,-0.0006621012,-66.21012,0.3783089370727539
4,1,0.8,937.263,62.102295,0.0035917226664513094,0.0035917226664513094,0.0033780783,0.0033780783,0.00021364423,-0.00050470023,-50.470024,0.44451905822753907
5,1,0.8,934.9216,69.11824,0.0035917226664513094,0.0035917226664513094,0.0032998957,0.0032998957,0.0002918269,-0.00042651757,-42.651756,0.4949890823364258
6,1,0.8,933.3816,85.86647,0.0035917226664513094,0.0035917226664513094,0.0031751413,0.0031751413,0.0004165813,-0.00030176318,-30.17632,0.5376408386230469
7,1,0.8,932.51245,91.88193,0.0035917226664513094,0.0035917226664513094,0.003125405,0.003125405,0.00046631764,-0.00025202683,-25.202682,0.5678171577453613
8,1,0.8,931.9251,97.94508,0.0035917226664513094,0.0035917226664513094,0.0030767974,0.0030767974,0.0005149252,-0.00020341924,-20.341925,0.5930198402404785
9,1,0.8,931.5398,102.97821,0.0035917226664513094,0.0035917226664513094,0.0030526072,0.0030526072,0.0005391154,-0.00017922907,-17.922907,0.6133617649078369
10,1,0.8,931.2552,107.677826,0.0035917226664513094,0.0035917226664513094,0.003027644,0.003027644,0.00056407857,-0.0001542659,-15.42659,0.6312846717834473
11,1,0.8,931.0764,113.84886,0.0035917226664513094,0.0035917226664513094,0.0029801894,0.0029801894,0.0006115332,-0.00010681129,-10.681129,0.6467112617492676
12,1,0.8,930.96783,115.16066,0.0035917226664513094,0.0035917226664513094,0.0029555615,0.0029555615,0.0006361611,-8.21834e-05,-8.21834,0.6573923912048341
13,1,0.8,930.904,120.26453,0.0035917226664513094,0.0035917226664513094,0.0029318128,0.0029318128,0.0006599098,-5.843467e-05,-5.843467,0.665610731124878
